-89.004      6.716
-71.123      7.464
-54.891      8.341
-40.435      9.476
-29.022      10.869
-20.652      12.675
-14.819      14.429
-12.283      15.847
-9.239      17.317
-7.21      18.685
-6.196      19.562
-4.928      19.794
-3.406      19.407
-1.377      18.556
3.38	16.4105
7.039	14.8288
7.12      14.635
7.039	14.4366
6.547	14.3884
5.978      14.377
3.442      14.377
0.399      14.454
-2.645      14.377
-5.435      13.99
-8.732      13.036
-11.775      12.081
-15.833      10.946
-20.145      10.044
-26.486      9.063
-36.123      8.083
-48.297      7.258
-59.457      6.665
-71.63      6.226
-78.986      5.968
-88.37      5.891
-89.004      6.716
