11.108      6.144
12.152      7.182
13.111      8.635
14.127      10.244
15.877      14.395
16.723      16.341
18.19      17.82
19.827      18.806
22.31      19.533
25.245      19.922
25.245      19.922
25.245      19.922
25.245      19.922
25.245      19.922
25.245      19.922
27.051      19.922
29.083      19.585
30.55      18.936
30.917      18.184
30.381      17.353
28.744      16.289
26.769      15.07
24.85      14.006
22.705      12.527
20.787      11.1
19.432      10.036
17.457      8.505
15.989      7.415
15.03      6.455
11.108      6.144
